baryon_density,pressurec2,energy_densityc2
611690871424245.5,38021243490813.414,643125325271026.9
615245592172519.4,38021243490813.414,647083674093456.8
618800312920793.1,38021243490813.414,651042022915886.5
622355033669067.0,38021243490813.414,655000371738316.4
625909754417340.9,38021243490813.414,658958720560746.2
629464475165614.8,38021243490813.414,662917069383176.1
633019195913888.6,38021243490813.414,666875418205606.0
636573916662162.4,38021243490813.414,670833767028035.8
640128637410436.1,38021243490813.414,674792115850465.6
643683358158710.0,38021243490813.414,678750464672895.5
647238078906983.9,38021243490813.414,682708813495325.4
650792799655257.8,38021243490813.414,686667162317755.2
654347520403531.5,38021243490813.414,690625511140185.0
657902241151805.4,38021243490813.414,694583859962614.9
661456961900079.2,38021243490813.414,698542208785044.8
665011682648353.1,38021243490813.414,702500557607474.6
668566403396627.0,38021243490813.414,706458906429904.5
