energy_densityc2,pressurec2,baryon_density
207124279125416.4,2220238239127.282,204242608892702.6
224486725112101.6,2673576463159.5435,221164230493697.84
241895829265696.7,3202323569139.1094,238094744253560.84
259348323975025.75,3818348281337.256,255027924678679.2
276841950817492.9,4534003317530.273,271958185981138.56
294376096282214.6,5361900944090.4,288881243514251.8
311951859199197.2,6314712245858.992,305794219059417.9
329571829734107.0,7404992642109.321,322695464684739.25
347239769179207.06,8645036103569.251,339584289796856.25
364960292515139.25,10046759753273.096,356460690033787.4
382738596790355.8,11621619181622.822,373325118942658.56
400580246065809.2,13380553155242.62,390178312007052.4
418491009004559.6,15333954782053.596,407021158551508.8
436476740156480.5,17491664899393.947,423854612443362.1
454543295457576.3,19862982660743.08,440679632265035.0
472696473654036.8,22456688066787.63,457497143009932.4
490941976967117.2,23859815966149.465,605058385376766.1
509285385812559.7,23859815966149.465,605058385376766.1
527732143623781.3,23859815966149.465,605058385376766.1
546287548796784.0,23859815966149.465,605058385376766.1
564956751520662.5,23859815966149.465,605058385376766.1
583744753830300.0,23859815966149.465,605058385376766.1
602656411658379.4,23859815966149.465,605058385376766.1
621696438004023.8,23859815966149.465,605058385376766.1
640869406597375.9,23859815966149.465,605058385376766.1
660179755640514.4,23859815966149.465,605058385376766.1
679631791357576.6,31640630252974.367,647222943983174.8
699229691200855.1,47318950127597.17,665318380375987.0
718977506642900.4,63117202481233.375,682730317834553.2
738879165543578.9,79038529601776.17,699925794584133.5
758938474121114.5,95085976463804.67,716922167742616.8
779159118581435.9,111262492032061.78,733735143813164.1
799544666474409.2,127570930346440.48,750378969996814.6
820098567851363.5,144014051448003.88,766866473714521.1
840824156298173.1,160594522205451.56,783209509616702.0
861724649913678.5,177314917097855.88,799418713474021.1
882803152295978.2,194177719003695.7,815504062370411.5
904062653590122.0,211185320039010.7,831474370683486.4
925506031640928.0,228340022479655.5,847338077423004.9
947136053284610.2,245644039794601.3,863102785551863.8
968955375803232.4,263099497809499.0,878775447680539.0
990966548556932.4,280708436012459.0,894362549497823.1
1013172014800779.2,298472809007536.5,909869949445105.0
1035574113685989.2,316394488115704.5,925303572029071.0
1058175082439318.2,334475263118367.7,940668151549026.4
1080977058709564.0,352716844134564.3,955968415015454.0
1103982083066380.8,371120863620017.7,971209070807642.5
1127192101633885.0,389688878474021.06,986394141426429.5
1150608968839682.0,408422372238658.7,1001527193497658.4
1174234450258977.5,427322757374095.06,1016612064583884.4
1198070225533078.0,446391377593375.44,1031651731091977.1
1222117891341901.0,465629510240433.8,1046649558876457.4
1246378964410760.5,485038368695521.44,1061608105590926.2
1270854884532843.5,504619104793187.8,1076530282109638.6
1295547017590091.0,524372811238985.8,1091418344807783.4
1320456658556711.0,544300524012281.8,1106274809598820.5
1345585034471172.5,564403224743851.0,1121101680287987.0
1370933307364191.0,584681843058265.8,1135901198862855.5
1396502577131868.0,605137258872407.4,1150674872820740.0
1422293884344744.0,625770304642708.1,1165425010665506.2
1448308212985065.0,646581767554964.9,1180152787781289.0
1474546493106039.0,667572391651744.1,1194859803925816.2
1501009603408106.0,688742879893397.8,1209547365678518.5
1527698373728536.5,710093896149742.1,1224217237716253.2
1554613587441752.5,731626067120314.9,1238870705293987.2
1581755983768682.5,753339984181858.9,1253508622157599.0
1609126259994415.5,775236205162445.2,1268132080735388.5
1636725073594049.0,797315256042152.0,1282742430808532.5
1664553044267379.5,819577632580816.4,1297340547333905.0
1692610755883522.0,842023801873730.4,1311927392337645.5
1720898758337078.0,864654203836575.1,1326504026406319.2
1749417569317793.0,887469252621147.1,1341070455282599.5
1778167675995966.5,910469337963685.9,1355628276730700.0
1807149536626107.2,933654826467798.5,1370177936599372.0
1836363582071503.2,957026062824115.2,1384720394086279.8
1865810217252511.2,980583370968921.6,1399255443804002.8
1895489822521430.5,1004327055184057.0,1413784548433950.0
1925402754966920.5,1028257401140449.0,1428308090246132.8
1955549349650924.0,1052374676887651.8,1442826491910077.2
1985929920780995.2,1076679133791708.8,1457340224102004.8
2016544762820996.0,1101171007423709.4,1471849811783086.8
2047394151543016.5,1125850518401325.8,1486355839264380.2
2078478345023314.5,1150717873185564.2,1500858954156974.0
2109797584585026.5,1175773264834933.8,1515358519115293.0
2141352095690298.0,1201016873719151.0,1529855815671053.2
2173142088784382.5,1226448868194418.5,1544351472804296.2
2205167760094210.0,1252069405242280.5,1558844606831736.5
2237429292383777.2,1277878631073934.2,1573336899359772.0
2269926855668635.5,1303876681701820.8,1587827853520357.8
2302660607891684.0,1330063683480259.5,1602317625160617.0
2335630695562313.0,1356439753616762.8,1616807280584225.5
2368837254360907.0,1383005000655638.0,1631296880057118.2
2402280409710570.5,1409759524935368.8,1645785782719354.8
2435960277317900.5,1436703419021232.8,1660274792855510.0
2469876963684497.0,1463836768114510.0,1674764279886825.0
2504030566590825.0,1491159650439572.5,1689254407718084.8
2538421175553967.5,1518672137610086.5,1703745367348805.0
2573048872260693.0,1546374294975467.0,1718237379228172.5
2607913730977271.5,1574266181948729.8,1732730695231089.0
2643015818937275.0,1602347852316732.5,1747224883990982.8
2678355196708621.0,1630619354533809.2,1761720240947178.2
2713931918541008.5,1659080731999719.2,1776217478532318.5
2749746032694840.5,1687732023322784.8,1790716972695570.8
2785797581752689.0,1716573262569063.5,1805217939333357.8
2822086602914233.0,1745604479498298.8,1819720551180151.5
2858613128275616.0,1774825699787405.2,1834226335295444.8
2895377185094110.0,1804236945242200.5,1848733125780302.2
2932378796038846.5,1833838233997989.8,1863243197349248.5
2969617979428445.0,1863629580709668.5,1877755080395339.5
3007094749456233.0,1893610996731899.0,1892270267665450.2
3044809116403747.5,1923782490289910.5,1906787156447738.8
3082761086843176.0,1954144066641453.2,1921308081291542.5
3120950663829303.0,1984695728230354.8,1935830416807727.0
3159377847081610.5,2015437474832200.8,1950356245609437.2
3198042633157027.0,2046369303692534.0,1964885849755088.5
3236945015613783.0,2077491209657938.8,1979417254922735.0
3276084985166960.0,2108803185300480.2,1993951993367270.0
3315462529836137.0,2140305221035821.8,2008490353374661.2
3355077635085529.0,2171997305235335.2,2023032277652057.8
3394930283957065.0,2203879424332564.0,2037577366238852.5
3435020457196756.0,2235951562924316.8,2052125087455666.8
3475348133374737.0,2268213703866701.5,2066676395855031.2
3515913288999319.0,2300665828366367.0,
3556715898625312.5,2333307916067162.0,
3597755934957018.0,2366139945132526.5,
3639033368946104.0,2399161892323795.5,
3680548169884617.0,2432373733074606.0,
3722300305493439.0,2465775441561663.5,
3764289742006468.0,2499366990772086.5,
3806516444250551.0,2533148352567353.0,
3848980375721593.0,2567119497744186.5,
3891681498656994.5,2601280396092507.5,
3934619774104487.0,2635631016450501.5,
3977795161987712.0,2670171326757081.5,
4021207621168604.0,2704901294101795.0,
4064857109506781.5,2739820884772337.0,
4108743583916057.0,2774930064299757.5,
4152867000418285.0,2810228797501540.0,
4197227314194608.0,2845717048522598.5,
4241824479634245.0,2881394780874308.0,
4286658450381004.0,2917261957471715.0,
4331729179377541.0,2953318540668944.5,
4377036618907543.0,2989564492292946.0,
4422580720635900.0,3025999773675631.5,
4468361435647004.0,3062624345684514.5,
4514390473607420.0,3099447576052847.5,
