central_baryon_density,central_pressurec2,M,R,Lambda
5.971704246210520000e+14,5.367590956581542969e+13,9.446423953251339434e-01,1.231304733976931409e+01,3.714160533365671654e+03
6.223649254390980000e+14,6.129693034408069531e+13,1.015767872884864920e+00,1.230474466496545460e+01,2.529735917229433198e+03
6.487287311578627500e+14,7.000000000000001562e+13,1.088989519317800747e+00,1.229815020992320385e+01,1.735701460058825205e+03
6.765456227565548750e+14,7.993875015428376562e+13,1.164466788660059926e+00,1.229240824602159066e+01,1.196628484598664500e+03
7.056644203656932500e+14,9.128862537470003125e+13,1.240561207197508287e+00,1.228353655630859720e+01,8.331952088059339303e+02
7.363502596218407500e+14,1.042499802250879062e+14,1.317371574778022580e+00,1.227092254579469000e+01,5.841624602069379080e+02
7.687187418213227500e+14,1.190516160400331875e+14,1.394378547601513807e+00,1.225491121226762559e+01,4.135035089737798444e+02
8.028851415856560000e+14,1.359548198583990469e+14,1.470497841688654495e+00,1.223206757220785157e+01,2.951410126710486566e+02
8.390031754084956250e+14,1.552579768133030938e+14,1.545228089317436160e+00,1.220072772825193397e+01,2.125878348961290669e+02
8.772563772329565000e+14,1.773018373991173438e+14,1.617818707401250888e+00,1.216135324570983300e+01,1.546796345947817599e+02
9.176853562052412500e+14,2.024755325963355000e+14,1.687744937451546523e+00,1.211348704065801662e+01,1.136065914800502838e+02
9.607150198743485000e+14,2.312234430367714062e+14,1.754117786548264668e+00,1.205652221605024899e+01,8.428429913112383076e+01
1.006354204731480125e+15,2.640530434675675625e+14,1.816487684577471784e+00,1.199071471649497767e+01,6.331089887856717979e+01
1.054987991454275000e+15,3.015438609890301250e+14,1.874435798211857573e+00,1.191686827869829735e+01,4.801740265794087037e+01
1.106861520999792750e+15,3.443577052022878750e+14,1.927226274724321398e+00,1.183274258070135154e+01,3.692562366796109075e+01
1.162285567395513750e+15,3.932503508552598125e+14,1.974868249359420291e+00,1.173902231744202673e+01,2.867997876154692705e+01
1.221489005719258750e+15,4.490848792157577500e+14,2.016523007089548791e+00,1.163705545678405606e+01,2.253294331634559811e+01
1.284933024098742250e+15,5.128469136813593750e+14,2.052632874884029679e+00,1.152729101728508354e+01,1.790047321571317340e+01
1.352946786262018750e+15,5.856620185738530000e+14,2.082897140484132326e+00,1.141047917599218309e+01,1.444158083910879853e+01
1.425948014881312250e+15,6.688155682518390000e+14,2.106928255177795695e+00,1.128566188946283333e+01,1.176109438275895158e+01
1.504353086284686500e+15,7.637754372825581250e+14,2.125394755850253503e+00,1.115561894055729120e+01,9.713601472724519681e+00
1.588636268100359500e+15,8.722179122129890000e+14,2.138244436312677355e+00,1.102063904182877430e+01,8.110419958185689282e+00
1.679291173538462000e+15,9.960572823497875000e+14,2.145519406014323671e+00,1.088057649176666075e+01,6.863266297386900305e+00
1.776807872030446500e+15,1.137479631901636000e+15,2.147652812765536989e+00,1.073729548540866752e+01,5.873361038182925320e+00
1.881769655581153250e+15,1.298981430002450500e+15,2.145035631367825157e+00,1.059153943130831976e+01,5.090337690311148577e+00
1.994714544992977500e+15,1.483413599828858750e+15,2.137852675791783064e+00,1.044418524043960517e+01,4.470562374267051275e+00
2.116294118288773250e+15,1.694031844745511500e+15,2.127118887290991189e+00,1.029828440818991986e+01,3.979013340910492413e+00
2.180504228777567750e+15,1.810302815673116000e+15,2.119934062170659050e+00,1.022174171132783016e+01,3.756302474413991455e+00
2.247119066538872250e+15,1.934554119864455000e+15,2.112096521030594864e+00,1.014768474936019160e+01,3.570192400341487993e+00
2.316223132263940000e+15,2.067333492652708750e+15,2.103805340754118625e+00,1.007663138077675846e+01,3.410207161526395581e+00
2.387904465500783500e+15,2.209226263539785250e+15,2.094338005219078092e+00,1.000274948781276052e+01,3.252219124290265828e+00
2.462234242949609500e+15,2.360857936496395500e+15,2.084072164360226243e+00,9.927444104723518237e+00,3.110714707689890890e+00
2.539344534822051000e+15,2.522896947362696000e+15,2.073338651355412399e+00,9.855008814551922569e+00,2.989080230381750525e+00
2.578951041861186500e+15,2.608040550960967500e+15,2.067783639223171654e+00,9.819111667155201673e+00,2.931727157660180882e+00
2.619299423957340000e+15,2.696057610504904000e+15,2.062047559281115827e+00,9.783375484841016601e+00,2.879141991600635109e+00
2.638655288844530500e+15,2.738732372361219500e+15,2.059247105397889133e+00,9.766308943272761667e+00,2.854487602542182589e+00
2.638655288844530500e+15,2.738732372361219500e+15,2.059290049836395742e+00,9.766659311881753069e+00,2.857799893698836247e+00
2.638655288844530500e+15,2.738732372361219500e+15,2.059236378015689706e+00,9.766511623358148597e+00,2.855432522654221206e+00
2.638655288844530500e+15,2.738732372361219500e+15,2.059294577154026751e+00,9.766405113231929391e+00,2.856755865178947751e+00
