central_baryon_density,central_pressurec2,M,R,Lambda
4.314125300763292500e+14,1.855687757146357812e+13,4.899478393559503209e-01,1.274203787282324818e+01,9.469724491412843054e+04
4.492944968081963750e+14,2.119162285469798047e+13,5.344096588716017449e-01,1.262287476176602574e+01,6.252405060708506062e+04
5.387492971762116875e+14,2.420045492493587500e+13,5.776152029377865649e-01,1.253461444554196369e+01,4.292357840104430943e+04
5.454679953568405000e+14,2.763648742663506641e+13,5.899030070970607831e-01,1.245383454653696198e+01,3.726517371371589252e+04
5.531406287171737500e+14,3.156037519342550000e+13,6.087994368454988647e-01,1.233040174045632931e+01,3.000690839359317033e+04
5.575293213633090625e+14,3.604138496232422656e+13,6.347468371818046906e-01,1.218874207628509154e+01,2.273059066343910672e+04
5.624500515626551875e+14,4.115861811025136719e+13,6.700344977626288001e-01,1.203799607758600310e+01,1.610198844264995569e+04
5.743592123882516250e+14,5.367590956581542969e+13,7.707701795907558884e-01,1.178435476762982681e+01,6.973717540661261410e+03
5.895990981953195000e+14,7.000000000000001562e+13,9.113040994795486016e-01,1.164207588001228721e+01,2.712966071291400567e+03
5.987530685127665000e+14,7.993875015428376562e+13,9.960536344249357743e-01,1.161430578565282623e+01,1.662583635114242497e+03
6.090224969654751250e+14,9.128862537470003125e+13,1.087845021180696703e+00,1.161553345635158152e+01,1.027419761732005554e+03
6.205950892264310000e+14,1.042499802250879062e+14,1.186659580074210352e+00,1.163506227869282306e+01,6.383406510845074990e+02
6.336125026895898750e+14,1.190516160400331875e+14,1.290979605689535958e+00,1.167231613717253147e+01,4.019132516069690837e+02
6.482217281375431250e+14,1.359548198583990469e+14,1.398883545860028166e+00,1.171680479273958930e+01,2.568088030437198768e+02
6.645932328572220000e+14,1.552579768133030938e+14,1.508688424368394232e+00,1.176638967203323105e+01,1.671143728292036599e+02
6.829234419074841250e+14,1.773018373991173438e+14,1.618718640863008096e+00,1.181446403008371426e+01,1.107088024038677645e+02
7.033321796653647500e+14,2.024755325963355000e+14,1.725834036762794232e+00,1.185779418434977828e+01,7.503854104698014282e+01
7.261154038875275000e+14,2.312234430367714062e+14,1.829945882880099406e+00,1.189258609600973493e+01,5.190053005063626301e+01
7.514488726720401250e+14,2.640530434675675625e+14,1.928525839866888969e+00,1.191741127203480133e+01,3.665639022749551401e+01
7.651384971571317500e+14,2.821764948274652500e+14,1.975546675454665335e+00,1.192397572794990879e+01,3.104720348571334299e+01
7.795509099770048750e+14,3.015438609890301250e+14,2.021069579849035236e+00,1.192954035958181436e+01,2.638345715970165983e+01
7.947202016810932500e+14,3.222405188489183750e+14,2.064167171724449190e+00,1.192996290987581887e+01,2.265968491307638999e+01
8.106833101576348750e+14,3.443577052022878750e+14,2.105288617844182308e+00,1.192672959788976250e+01,1.949257545672197622e+01
8.274801178972196250e+14,3.679929189407206875e+14,2.144875039013906637e+00,1.192158912305941598e+01,1.684820847526936305e+01
8.451231634769658750e+14,3.932503508552598125e+14,2.181232660223667796e+00,1.191069890442261858e+01,1.465781058245718249e+01
8.636519435213427500e+14,4.202413429392551875e+14,2.215674025160781824e+00,1.189533943816712913e+01,1.280830073133556901e+01
8.831223967976268750e+14,4.490848792157577500e+14,2.247834610025789992e+00,1.187769897403816799e+01,1.124600530981948765e+01
